1	 $ 2.086.762 	 $ 4.173.524 	 $ 245.000 	 $ -   
2	 $ 2.086.762 	 $ 4.173.524 	 $ 245.000 	 $ -   
3	 $ 2.086.762 	 $ 4.173.524 	 $ 245.000 	 $ 1.700.000 
4	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ -   
5	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ 4.000.000 
6	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ 1.849.643 
7	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ -   
8	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ -   
9	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ 4.170.000 
10	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ -   
11	 $ 2.086.762 	 $ 4.173.524 	 $ 245.000 	 $ 289.745 
12	 $ 2.086.762 	 $ 4.173.524 	 $ 195.000 	 $ 500.000 
